 #Condensation Temperatures (K) vs Pressure (Bar) for the 13 Cloud Species used in Roman et al (2020), and 4 species used in Roman & Rauscher (2019). Values are based plots from Mbarek & Kempton (2016).
#Pressure(bars) KCl ZnS Na2S MnS Cr SiO2 Mg2SiO4 VO Ni Fe Ca2SiO4 CaTiO3 Al2O3 MgSiO3
   5.8094E-02   7.3109E+02   8.0639E+02   9.1923E+02   1396   1.3977E+03   1.5348E+03   1.5891E+03   1.6031E+03   1.5682E+03   1.6674E+03   1.7469E+03   1.8330E+03   1.9019E+03	1497.14
   7.6583E-02   7.3670E+02   8.1200E+02   9.2769E+02   1406   1.4079E+03   1.5463E+03   1.5997E+03   1.6160E+03   1.5810E+03   1.6837E+03   1.7585E+03   1.8453E+03   1.9133E+03	1507.25
   1.0096E-01   7.4231E+02   8.1518E+02   9.3334E+02   1417   1.4222E+03   1.5552E+03   1.6113E+03   1.6276E+03   1.5938E+03   1.7006E+03   1.7727E+03   1.8554E+03   1.9247E+03	1517.04
   1.3309E-01   7.4792E+02   8.2321E+02   9.4180E+02   1428   1.4336E+03   1.5646E+03   1.6228E+03   1.6391E+03   1.6077E+03   1.7175E+03   1.7845E+03   1.8674E+03   1.9361E+03	1527.28
   1.7544E-01   7.5354E+02   8.2881E+02   9.4745E+02   1439   1.4450E+03   1.5757E+03   1.6343E+03   1.6529E+03   1.6221E+03   1.7361E+03   1.7960E+03   1.8799E+03   1.9460E+03	1537.29
   2.3128E-01   7.5915E+02   8.3436E+02   9.5591E+02   1453   1.4593E+03   1.5857E+03   1.6459E+03   1.6649E+03   1.6356E+03   1.7546E+03   1.8102E+03   1.8924E+03   1.9560E+03	1546.58
   3.0488E-01   7.6476E+02   8.4002E+02   9.6436E+02   1466   1.4707E+03   1.5962E+03   1.6584E+03   1.6778E+03   1.6505E+03   1.7736E+03   1.8220E+03   1.9041E+03   1.9703E+03	1556.41
   4.0191E-01   7.7073E+02   8.4563E+02   9.7282E+02   1480   1.4848E+03   1.6049E+03   1.6710E+03   1.6907E+03   1.6662E+03   1.7917E+03   1.8353E+03   1.9173E+03   1.9816E+03	1567.50
   5.2982E-01   7.7598E+02   8.5123E+02   9.8127E+02   1493   1.4964E+03   1.6166E+03   1.6834E+03   1.7036E+03   1.6817E+03   1.8129E+03   1.8480E+03   1.9298E+03   1.9930E+03	1578.63
   6.9844E-01   7.8257E+02   8.5684E+02   9.8973E+02   1507   1.5096E+03   1.6283E+03   1.6949E+03   1.7166E+03   1.6973E+03   1.8316E+03   1.8624E+03   1.9412E+03   1.9958E+03	1588.50
